country_code_1,country_code_2,capital_dist_meters,centroid_dist_meters
FI,AR,12960455.39631731,13377498.61197661
FR,AR,11062059.320401562,11095457.530608932
GB,AR,11142636.997230098,11360045.292548204
GR,AR,11698763.890513523,12008772.323113926
HK,AR,18484090.518986728,NA
HR,AR,11645626.389044126,11895633.609983446
HU,AR,11948973.92112073,12298487.269307569
ID,AR,15237770.78445777,15675698.650958577
IE,AR,11003470.609433284,11092764.676934043
IL,AR,12251421.963361783,12641440.43969787
IN,AR,15808185.85381125,15898042.767995698
IQ,AR,13100232.88915908,13502273.589325415
IT,AR,11163125.022691576,11575723.462205414
JO,AR,12319345.03689254,12723046.782392943
JP,AR,18384341.901507538,18023383.396867324
KH,AR,16964808.552695036,17448487.689592857
KR,AR,19454272.703906722,18943950.151434675
KW,AR,13216829.705458019,13677852.671771046
KZ,AR,15654958.934340287,15794334.819829945
LT,AR,12719319.00872258,12977382.759269336
LV,AR,12766721.146372586,13075365.715943899
MA,AR,9337542.956884077,9598913.13571708
MK,AR,11776849.181486335,12162891.031209396
MX,AR,7401876.832903291,7512825.753390903
MY,AR,15975107.098623438,16512131.650292825
NL,AR,11457894.664948627,11755585.036909036
NO,AR,12261140.427872041,12549518.537124932
NZ,AR,9994576.173338978,9714449.520967843
OM,AR,13877836.279609025,14115302.740010105
PE,AR,3140406.3582208273,2938942.611978674
PH,AR,17811246.14410329,17622267.00064409
PK,AR,15607082.075800484,15708150.276378613
PL,AR,12343077.99835029,12555333.312504925
PT,AR,9609950.592191685,10005816.105747156
QA,AR,13327184.421621004,13809292.246469116
RO,AR,12238591.278942037,12589276.083297933
RS,AR,11880446.463313052,12207525.308640959
RU,AR,13490458.793257399,16917693.121072605
SA,AR,12869791.78457596,13218871.597754918
SE,AR,12574753.104284834,12779626.915762179
SG,AR,15895159.74518207,16189052.919569299
SI,AR,11570307.990309764,11936662.924954262
SK,AR,11866706.066638993,12353299.651945619
TH,AR,16888456.69203867,17380807.275326755
TR,AR,12491150.834806034,13010720.269627301
TW,AR,18969813.53190395,18823014.7824595
UA,AR,12837373.234539537,13203865.864156604
US,AR,8406786.848468622,8954777.924575156
VN,AR,17874688.19148533,17890502.635533094
ZA,AR,8137591.272316446,8211357.4301817035
AE,AT,4242295.277939249,4426339.855336516
AR,AT,11823671.28941631,11881878.71896573
AT,AT,0,0
AU,AT,15934818.351182664,14392229.709835364
BA,AT,510614.2907216633,489548.5037812242
BE,AT,915989.0064066285,783305.8646434498
BG,AT,819466.4981818323,1033471.4621679276
BH,AT,3845383.234054908,4021209.674713404
BR,AT,9537025.676539062,9259646.853687864
BY,AT,1004457.7848769876,1217956.5236870158
CA,AT,6574284.56154256,6496382.6283984585
CH,AT,684823.1824997046,405261.7167186355
CL,AT,12519800.576548627,12027087.586957201
CO,AT,9668657.522095557,9339490.029515069
CZ,AT,250628.4524356284,295719.93371485936
DE,AT,523525.7259763508,507091.80970704334
DK,AT,870075.2776219671,991539.8962413997
DZ,AT,1674878.121514354,2331962.573024887
EE,AT,1362221.5346080957,1543915.7168685626
EG,AT,2385796.5685073934,2690845.9052090687
ES,AT,1812018.2735530701,1611689.265562352
FI,AT,1439816.6436012497,2009886.2587604236
FR,AT,1035046.0131570358,877586.0979745368
GB,AT,1234381.9131697982,1424932.8714307158
GR,AT,1285918.3352615417,1162792.5796185392
HK,AT,8739339.782968393,NA
HR,AT,271097.6387473479,293216.4079352873
HU,AT,217258.27658283216,505757.17778564815
ID,AT,10565361.5658747,11681306.84946956
IE,AT,1682276.4114707087,1638955.2856039815
IL,AT,2422392.0012009195,2533229.0893276813
IN,AT,5573320.125862852,6425817.071518934
IQ,AT,2862923.704658226,3028376.720386816
IT,AT,767305.7117190943,502473.77024181036
JO,AT,2446586.753265638,2652364.4524464663
JP,AT,9142999.700537087,9249395.809126057
KH,AT,8954540.87109306,9082902.7822458
KR,AT,8284452.215114382,8597896.890443478
KW,AT,3412742.812481983,3554436.073607283
KZ,AT,3887475.4891663906,4010834.748073441
LT,AT,947945.7831118456,1210869.5229153032
LV,AT,1104790.15066728,1334976.2548967428
MA,AT,2490121.923368725,2308154.6047141007
MK,AT,799549.4553475666,919322.2531986114
MX,AT,10162510.987091064,9888819.739968756
MY,AT,9410927.86398922,10502622.771601481
NL,AT,936508.1555982968,790543.3894086829
NO,AT,1350936.7993019542,1646191.455534113
NZ,AT,18172312.197031975,18401144.319715798
OM,AT,4598702.302939707,4880960.882641884
PE,AT,11269212.077219954,10785460.885184908
PH,AT,9854733.154806755,10311920.628332807
PK,AT,4907538.042845106,5160290.527664722
PL,AT,558197.5601258137,706950.6889366892
PT,AT,2301369.4375817142,1924219.4689821661
QA,AT,3983018.2041652524,4113463.878988151
RO,AT,857239.1022185115,902624.0188464422
RS,AT,492262.7118431747,701936.9783844529
RU,AT,1670906.3793990568,5450930.948780789
SA,AT,3735777.006431177,3733201.5839480953
SE,AT,1241701.0906951972,1636073.2289421102
SG,AT,9723945.249590939,9942092.651966656
SI,AT,278640.896596647,184564.02608329713
SK,AT,56795.3911643874,482560.51329021493
TH,AT,8451975.54619417,8549173.347240852
TR,AT,1603545.9902544387,1969370.596765151
TW,AT,9004765.241952756,9308153.728538832
UA,AT,1053934.384266128,1394678.6684372183
US,AT,7129054.875649231,8230481.042202774
VN,AT,8252780.102089475,9034776.234559737
ZA,AT,8316811.099729501,8701939.362395316
AE,AU,11969737.728913767,10289101.603344126
AR,AU,11745574.66185456,13169201.001919484
AT,AU,15934818.351182664,14392229.709835364
AU,AU,0,0
BA,AU,15771798.248063652,14054060.36260236
BE,AU,16739786.611091634,14992917.632273003
BG,AU,15360115.843126632,13468829.719410546
BH,AU,12395868.736685485,10703737.760017518
BR,AU,14072419.344316112,15992993.250886671
BY,AU,15134587.246024525,13336164.551999165
CA,AU,16126745.321945135,14541710.924190732
CH,AU,16615385.614836369,14797362.078936048
CL,AU,11332931.116116265,13315274.450769745
CO,AU,14443266.109096952,16321657.379332969
CZ,AU,16058504.99764818,14246370.713373277
DE,AU,16088327.160367865,14534386.265388748
DK,AU,16056400.86820584,14457125.471178694
DZ,AU,16996770.131111015,15274260.34311812
EE,AU,15257404.46230217,13463604.410844943
EG,AU,14282428.83705431,12649505.526675351
ES,AU,17594254.04121393,15886913.161573766
FI,AU,15233647.151848778,13426266.786084434
FR,AU,16941417.525033403,15269701.68580345
GB,AU,17000539.851203874,15369769.582945516
GR,AU,15222272.311795041,13665929.856382502
HK,AU,7397197.090291242,NA
HR,AU,15970865.19485168,14238349.196714062
HU,AU,15734116.834650466,13889491.421299927
ID,AU,5401876.780120862,2743169.6023220522
IE,AU,17259610.788205486,15655379.049808748
IL,AU,14008760.091499995,12356163.881028369
IN,AU,10364705.39844716,8030119.185420095
