lang1,lang2,wals_euclidean_dist,country_code_1,country_code_2
cze,chi,111.26888357096638,CZ,TW
dan,chi,146.7068551393143,DK,HK
dan,chi,146.7068551393143,DK,TW
dut,chi,132.6382299140136,BE,HK
dut,chi,132.6382299140136,BE,TW
dut,chi,132.6382299140136,NL,HK
dut,chi,132.6382299140136,NL,TW
eng,chi,184.55787111658128,AU,HK
eng,chi,184.55787111658128,AU,TW
eng,chi,184.55787111658128,CA,HK
eng,chi,184.55787111658128,CA,TW
eng,chi,184.55787111658128,GB,HK
eng,chi,184.55787111658128,GB,TW
eng,chi,184.55787111658128,IE,HK
eng,chi,184.55787111658128,IE,TW
eng,chi,184.55787111658128,IN,HK
eng,chi,184.55787111658128,IN,TW
eng,chi,184.55787111658128,NZ,HK
eng,chi,184.55787111658128,NZ,TW
eng,chi,184.55787111658128,US,HK
eng,chi,184.55787111658128,US,TW
est,chi,114.0127028525199,EE,HK
est,chi,114.0127028525199,EE,TW
fin,chi,163.82569755032375,FI,HK
fin,chi,163.82569755032375,FI,TW
fre,chi,199.39565480889758,FR,HK
fre,chi,199.39565480889758,FR,TW
ger,chi,191.80832252752833,AT,HK
ger,chi,191.80832252752833,AT,TW
ger,chi,191.80832252752833,CH,HK
ger,chi,191.80832252752833,CH,TW
ger,chi,191.80832252752833,DE,HK
